Nome da Empresa,Nicho,Cidade,Instagram Handle,LinkedIn URL,Mensagem Instagram,Mensagem LinkedIn,Status,Data Contato,Resposta
Med São Paulo - Consultas e Exames,Clínica,São Paulo/SP,@medsaopaulo,https://linkedin.com/company/medsaopaulo,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Med São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Med São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Doutor SP - Centro Médico,Clínica,São Paulo/SP,@doutorsp,https://linkedin.com/company/doutorsp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) no Doutor SP. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera o Doutor SP. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica São Paulo,Clínica,São Paulo/SP,@clinicasaopaulo,https://linkedin.com/company/clinicasaopaulo,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
VLS Médici Clínica Médica,Clínica,São Paulo/SP,@vlmedici,https://linkedin.com/company/vlmedici,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na VLS Médici. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a VLS Médici. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica de Especialidades Consulta Fácil,Clínica,São Paulo/SP,@consultafacil,https://linkedin.com/company/consultafacil,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Consulta Fácil. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Consulta Fácil. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clinica Supreme | Medicina Especializada,Clínica,São Paulo/SP,@clinicasupreme,https://linkedin.com/company/clinicasupreme,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Supreme. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Supreme. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Astra,Clínica,São Paulo/SP,@clinicaastra,https://linkedin.com/company/clinicaastra,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Astra. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Astra. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Sabará,Clínica,São Paulo/SP,@clinicasabara,https://linkedin.com/company/clinicasabara,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Sabará. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Sabará. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Mayo São Paulo,Clínica,São Paulo/SP,@clinicamayosp,https://linkedin.com/company/clinicamayosp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Mayo São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Mayo São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Diagnósticos São Paulo,Clínica,São Paulo/SP,@diagnosticssp,https://linkedin.com/company/diagnosticssp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Diagnósticos São Paulo. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Diagnósticos São Paulo. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
SP Imóveis Jardins,Imobiliária,São Paulo/SP,@spimoveisjardins,https://linkedin.com/company/spimoveisjardins,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na SP Imóveis Jardins. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a SP Imóveis Jardins. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Paulista Real Estate,Imobiliária,São Paulo/SP,@paulistarealestate,https://linkedin.com/company/paulistarealestate,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Paulista Real Estate. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Paulista Real Estate. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Imobiliária Morumbi,Imobiliária,São Paulo/SP,@imobiliariamorumbi,https://linkedin.com/company/imobiliariamorumbi,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Imobiliária Morumbi. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Imobiliária Morumbi. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
São Paulo Properties,Imobiliária,São Paulo/SP,@saopauloproperties,https://linkedin.com/company/saopauloproperties,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na São Paulo Properties. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a São Paulo Properties. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Imobiliária Pinheiros,Imobiliária,São Paulo/SP,@imobiliariapinheiros,https://linkedin.com/company/imobiliariapinheiros,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Imobiliária Pinheiros. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Imobiliária Pinheiros. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Real Estate Solutions,Imobiliária,São Paulo/SP,@realestatesolutions,https://linkedin.com/company/realestatesolutions,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Real Estate Solutions. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Real Estate Solutions. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Tech Real Estate SP,Imobiliária,São Paulo/SP,@techrealestatesp,https://linkedin.com/company/techrealestatesp,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Tech Real Estate SP. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Tech Real Estate SP. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Prime Imóveis Paulista,Imobiliária,São Paulo/SP,@primeimoveispaulista,https://linkedin.com/company/primeimoveispaulista,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Prime Imóveis Paulista. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Prime Imóveis Paulista. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Lusa Imóveis,Imobiliária,São Paulo/SP,@lusaimoveis,https://linkedin.com/company/lusaimoveis,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Lusa Imóveis. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Lusa Imóveis. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Jardins America Real Estate,Imobiliária,São Paulo/SP,@jardinsamerica,https://linkedin.com/company/jardinsamerica,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Jardins America Real Estate. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Jardins America Real Estate. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Secovi Rio - Imobiliária,Imobiliária,Rio de Janeiro/RJ,@secovirio,https://linkedin.com/company/secovirio,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Secovi Rio. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Secovi Rio. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Agência Alpha Imóveis,Imobiliária,Rio de Janeiro/RJ,@agencialphaimoveis,https://linkedin.com/company/agencialphaimoveis,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Agência Alpha Imóveis. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Agência Alpha Imóveis. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Rio Properties,Imobiliária,Rio de Janeiro/RJ,@rioproperties,https://linkedin.com/company/rioproperties,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Rio Properties. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Rio Properties. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Copacabana Real Estate,Imobiliária,Rio de Janeiro/RJ,@copacabanarealestate,https://linkedin.com/company/copacabanarealestate,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Copacabana Real Estate. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Copacabana Real Estate. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Imobiliária Ipanema,Imobiliária,Rio de Janeiro/RJ,@imobiliariaipanema,https://linkedin.com/company/imobiliariaipanema,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Imobiliária Ipanema. Estou pesquisando os desafios que imobiliárias enfrentam com leads que não convertem em vendas.

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Imobiliária Ipanema. Estou conduzindo pesquisa sobre desafios de conversão em imobiliárias.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Hospital Copa D'Or,Clínica,Rio de Janeiro/RJ,@hospitalcopador,https://linkedin.com/company/hospitalcopador,"👋 Olá! Tudo bem?

Vi que você é gestor(a) no Hospital Copa D'Or. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera o Hospital Copa D'Or. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica São Vicente,Clínica,Rio de Janeiro/RJ,@clinicasaovicente,https://linkedin.com/company/clinicasaovicente,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica São Vicente. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica São Vicente. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica DocNatal,Clínica,Rio de Janeiro/RJ,@clinicadocnatal,https://linkedin.com/company/clinicadocnatal,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica DocNatal. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica DocNatal. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
CliniMed Rio,Clínica,Rio de Janeiro/RJ,@clinimedrio,https://linkedin.com/company/clinimedrio,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na CliniMed Rio. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a CliniMed Rio. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
Clínica Rio XV,Clínica,Rio de Janeiro/RJ,@clinicarioxv,https://linkedin.com/company/clinicarioxv,"👋 Olá! Tudo bem?

Vi que você é gestor(a) na Clínica Rio XV. Estou pesquisando os desafios que clínicas enfrentam com pacientes que não comparecem às consultas (no-show).

Você teria 20min essa semana para conversar? Não é venda - é pesquisa para entender melhor o problema.

Posso te enviar o link do calendário? 📅","Olá,

Vi que você lidera a Clínica Rio XV. Estou conduzindo pesquisa sobre desafios com no-show em clínicas.

Você teria 20min para compartilhar sua experiência? Sem pitch de vendas - quero entender o problema real.",pending,,
