Feedback ID,Date Received,Channel,Customer ID,Customer Name,Segment,Category,Subcategory,Feature/Issue Tag,Sentiment (-2 to +2),Priority Score (0-100),Description,Customer Quote,Assigned To,Status,Date Acknowledged,Date Closed,Closed Loop Method,Customers Notified,Revenue Impact,Notes
FEED-001,2026-04-25,In-App Survey,CUST-001,Clínica DermatoEssência,Clinics,Product,Feature Request,WhatsApp Scheduling,+1,65,"Ability to schedule WhatsApp messages in advance","It would be amazing to schedule reminders a week in advance",Product Manager,New,2026-04-26,,,0,0,R$ 0,Requested by 5 customers
FEED-002,2026-04-25,Support Ticket,CUST-002,Imobiliária Prime,Real Estate,Technical,Bug,API Integration,-1,85,"WhatsApp API integration failing for 2 days","Our messages aren't sending, urgent!",Engineering Lead,In Progress,2026-04-25,2026-04-27,Email,1,R$ 300,Churn risk if not fixed
FEED-003,2026-04-25,Day 30 NPS,CUST-003,Clínica Saúde Total,Clinics,Price,Too Expensive,Pricing,-1,70,"Price is too high for small clinics","Love the product but R$ 297 is steep for us",Marketing Lead,New,2026-04-26,,,0,0,R$ 0,Potential downgrade candidate
FEED-004,2026-04-25,Churn Interview,CUST-004,Imobiliária Central,Real Estate,Product,Missing Feature,Multi-Location Support,-2,90,"Cannot manage multiple locations separately","We have 5 offices and need separate reporting",Product Manager,New,2026-04-26,,,0,R$ 497,Churned due to this feature
FEED-005,2026-04-25,Sales Call,PROSP-001,Clínica Futuro,Clinics,Product,Feature Request,Pix Payment Automation,+2,75,"Automate Pix payment collection via WhatsApp","Customers pay via Pix but we have to send manually",Product Manager,New,2026-04-27,,,0,R$ 0,"Would buy if had this"
FEED-006,2026-04-25,Social Media,Unknown,Unknown,Service,Slow Response,Support Response Time,-2,80,"No response to support ticket for 48 hours","@conectapay submitted ticket 48h ago no response!",CS Lead,Closed,2026-04-25,2026-04-25,DM Reply,5,R$ 0,Viral negative post addressed
FEED-007,2026-04-25,Review (Google),CUST-005,Clínica Bem-Estar,Clinics,Product,Poor UX,Campaign Builder,-1,60,"Campaign builder is confusing","Hard to create sequences, UI needs work",Product Designer,New,2026-04-27,,,0,R$ 0,4-star review
FEED-008,2026-04-25,Advisory Board,CUST-006,Imobiliária Elite,Real Estate,Product,Enhancement,Analytics Dashboard,+2,55,"More detailed analytics needed","Want to see conversion rates by automation type",Product Manager,Backlog,2026-04-28,,,0,R$ 0,Strategic priority
FEED-009,2026-04-25,Behavioral Data,CUST-007,Clínica Vida,Clinics,Product,Feature Adoption,Mobile App,0,45,"Never uses mobile app, only desktop","Prefers desktop, mobile app seems redundant",Product Manager,New,2026-04-29,,,0,R$ 0,Low usage flag
FEED-010,2026-04-25,Day 7 NPS,CUST-008,Imobiliária Urban,Real Estate,Service,Onboarding Friction,Setup Time,-1,72,"Setup took 3 hours instead of 15 min","WhatsApp connection was confusing and buggy",CS Lead,In Progress,2026-04-25,2026-04-28,WhatsApp,1,R$ 0,Onboarding optimization needed